fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
1986-1,76,35.5(28),3,69.0,0.0,0.0,4.4,1031.5(18),4.0,1015.6,1015.0,3.6,17.4(15),8.4,0.0,0.0,3,28/23.9(06),1.0,25,46.0,0.0,2.0,0.3(07),179.0,79.0,1.0,0.0,698.0,36.3,5.0,0.0,13.0,0.0,5.0,0.0,8.5,13.4,0.0,974.1(30),1.0,
1986-2,76,7.9(21),7,72.0,0.0,0.0,5.3,1022.1(12),,1007.3,1006.6,3.4,23.2(23),11.0,0.0,0.0,2,,0.0,19,50.0,,8.0,-1.6(10),210.0,82.0,0.0,0.0,534.0,22.6,12.0,0.0,13.0,3.0,8.0,0.0,8.2,13.0,0.0,991.9(01),5.0,
1986-3,76,11.9(19),6,73.0,0.0,1.0,7.0,1027.0(21),,1017.0,1016.4,6.1,20.5(24),10.2,0.0,0.0,4,,2.0,21,58.0,,6.0,3.0(26),,100.0,0.0,0.0,567.0,33.7,7.0,0.0,16.0,0.0,11.5,0.0,11.1,16.0,0.0,993.8(01),5.0,
1986-4,76,63.8(11),6,72.0,0.0,1.0,6.3,1019.2(20),6.0,1010.3,1009.7,6.5,20.0(22),10.6,0.0,0.0,2,07/20.0(06),2.0,22,47.0,0.0,6.0,0.2(13),224.0,104.0,1.0,0.0,509.0,92.4,8.0,1.0,17.0,0.0,8.0,0.0,11.5,16.6,0.0,998.7(06),6.0,
1986-5,76,33.7(28),3,76.0,0.0,3.0,9.2,1024.2(09),,1017.6,1017.0,12.1,25.5(26),16.8,0.0,0.0,4,,1.0,24,64.0,,4.0,7.2(05),,161.0,1.0,0.0,498.0,35.3,7.0,0.0,14.0,0.0,16.6,0.0,17.0,21.9,0.0,1007.8(04),1.0,
1986-6,76,1.8(05),1,72.0,0.0,1.0,9.4,1020.7(08),,1015.5,1014.9,15.0,30.0(28),19.0,1.0,0.0,9,,0.0,20,62.0,,2.0,11.5(06),,179.0,0.0,0.0,,3.2,4.0,0.0,14.0,0.0,19.4,0.0,19.6,24.1,0.0,1001.3(05),2.0,
1986-7,76,14.6(12),2,72.0,0.0,0.0,9.2,1021.0(04),,1016.8,1016.2,18.1,30.0(04),23.4,2.0,0.0,9,,1.0,20,62.0,,4.0,14.5(19),145.0,214.0,0.0,0.0,909.0,23.4,6.0,3.0,13.0,0.0,24.4,0.0,22.8,27.4,0.0,1008.7(23),3.0,
1986-8,76,26.1(27),2,74.0,0.0,0.0,9.0,1023.1(30),1.0,1014.9,1014.3,19.4,33.5(18),22.2,3.0,0.0,5,24/16.1(18),2.0,24,65.0,0.0,6.0,15.0(29),155.0,230.0,0.0,0.0,855.0,62.5,9.0,3.0,14.0,0.0,21.0,0.0,23.6,27.8,0.0,1005.2(18),5.0,
1986-9,76,51.3(30),2,77.0,0.0,0.0,7.4,1026.8(20),,1017.7,1017.1,17.5,29.5(17),19.5,0.0,0.0,0,,3.0,28,59.0,,6.0,13.5(29),,208.0,1.0,0.0,688.0,108.3,12.0,4.0,13.0,0.0,23.6,0.0,21.9,26.3,0.0,1009.4(16),5.0,
1987-10,76,175.1(03),8,76.0,0.0,0.0,4.0,1021.9(25),,1013.6,1013.1,13.8,27.0(08),17.8,0.0,0.0,2,,7.0,21,36.0,,11.0,9.2(18),,158.0,3.0,0.0,649.0,411.3,12.0,8.0,14.0,0.0,18.5,0.0,18.1,22.3,0.0,992.9(10),10.0,
1987-11,76,32.7(08),5,74.0,0.0,0.0,5.1,1032.1(19),0.0,1015.9,1015.3,7.7,21.5(01),14.0,0.0,0.0,8,23/11.9(03),2.0,17,52.0,0.0,4.0,1.6(30),252.0,108.0,1.0,0.0,553.0,54.1,6.0,0.0,10.0,0.0,10.4,0.0,12.4,17.1,0.0,987.0(24),3.0,
1987-12,76,25.5(13),7,79.0,0.0,0.0,3.9,1035.8(27),,1018.2,1017.6,7.0,20.6(18),13.0,0.0,0.0,4,,3.0,20,42.0,,10.0,1.2(01),,105.0,0.0,0.0,385.0,79.4,12.0,0.0,10.0,0.0,11.5,0.0,11.3,15.6,0.0,998.9(14),9.0,
1987-13,76,175.1(03/oct),61,74.0,0.0,3.0,6.7,1035.8(27/dic),,1015.7,1015.2,11.1,32.5(15/ago),22.5,12.0,0.0,70,,27.0,232,54.0,,81.0,-3.5(20/feb),,144.0,5.0,1.0,,984.8,100.0,19.0,12.0,9.0,5.4,2.0,15.6,20.1,0.0,986.3(14/ene),62.0,
1987-1,76,25.7(10),6,72.0,0.0,0.0,4.7,1030.3(25),,1014.8,1014.2,3.1,19.0(27),8.2,0.0,0.0,8,,3.0,17,49.0,,6.0,-1.0(12),,77.0,0.0,0.0,540.0,66.1,8.0,1.0,13.0,6.0,5.4,2.0,7.9,12.8,0.0,986.3(14),6.0,
