fecha,tmed,prec,tmin,tmax
1973-12-31,16.07,1.26,10.92,21.22
1974-12-31,16.11,1.27,10.95,21.27
1975-12-31,16.13,1.48,11.06,21.21
1976-12-31,15.91,1.7,10.89,20.93
1977-12-31,16.24,1.74,11.39,21.08
1978-12-31,16.32,1.29,11.33,21.31
1979-12-31,16.48,1.56,11.62,21.35
1980-12-31,16.2,1.27,11.07,21.34
1981-12-31,16.34,1.17,11.15,21.52
1982-12-31,17.16,1.55,12.22,22.12
1983-12-31,17.22,1.15,12.11,22.33
1984-12-31,16.17,1.3,11.18,21.15
1985-12-31,16.76,1.33,11.61,21.9
1986-12-31,16.81,1.29,11.69,21.94
1987-12-31,17.13,1.74,12.12,22.14
1988-12-31,17.01,1.3,11.9,22.12
1989-12-31,17.6,1.89,12.7,22.51
1990-12-31,17.21,1.38,12.17,22.25
1991-12-31,16.37,1.49,11.25,21.5
1992-12-31,16.31,1.31,11.14,21.48
1993-12-31,16.03,1.25,10.88,21.18
1994-12-31,17.26,1.15,12.03,22.48
1995-12-31,17.26,1.06,12.19,22.33
1996-12-31,16.47,1.93,11.65,21.28
1997-12-31,17.33,1.54,12.45,22.22
1998-12-31,17.21,1.02,12.15,22.27
1999-12-31,17.07,1.0,12.06,22.08
2000-12-31,16.98,1.16,11.85,22.12
2001-12-31,17.31,1.29,12.36,22.26
2002-12-31,17.1,1.51,12.13,22.07
2003-12-31,17.42,1.59,12.54,22.3
2004-12-31,17.0,1.36,12.02,21.98
2005-12-31,16.74,0.9,11.5,21.99
2006-12-31,17.53,1.31,12.55,22.52
2007-12-31,17.03,1.36,11.97,22.11
2008-12-31,16.87,1.59,11.98,21.76
2009-12-31,17.54,1.48,12.4,22.71
2010-12-31,16.81,2.0,11.92,21.71
2011-12-31,17.41,1.31,12.32,22.53
2012-12-31,17.03,1.24,11.7,22.37
2013-12-31,16.72,1.38,11.65,21.8
2014-12-31,17.45,1.28,12.3,22.6
2015-12-31,17.55,1.04,12.15,22.96
2016-12-31,17.4,1.38,12.21,22.59
2017-12-31,17.63,1.04,12.06,23.21
2018-12-31,17.0,1.82,11.9,22.11
2019-12-31,17.34,1.14,11.9,22.79
2020-12-31,17.7,1.41,12.39,23.02
2021-12-31,17.45,1.3,12.26,22.65
2022-12-31,18.33,1.31,12.89,23.78
