Total Nacional;Comunidades y Ciudades Autónomas;Origen del agua;periodo;Total
España;Andalucía;Otros recursos hídricos;2000;133.357
España;Aragón;Total;2018;2.149.394
España;Aragón;Total;2016;2.570.871
España;Aragón;Total;2015;2.552.468
España;Aragón;Total;2014;2.825.550
España;Aragón;Total;2013;2.730.584
España;Aragón;Total;2012;3.157.582
España;Aragón;Total;2011;2.953.112
España;Aragón;Total;2010;2.514.418
España;Aragón;Total;2009;2.376.293
España;Aragón;Total;2008;2.357.345
España;Aragón;Total;2007;2.408.565
España;Aragón;Total;2006;2.347.413
España;Aragón;Total;2005;2.411.723
España;Aragón;Total;2004;2.731.710
España;Aragón;Total;2003;2.897.770
España;Aragón;Total;2002;2.909.919
España;Aragón;Total;2001;2.998.259
España;Aragón;Total;2000;2.816.215
España;Aragón;Aguas superficiales;2018;2.076.315
España;Aragón;Aguas superficiales;2016;2.501.457
España;Aragón;Aguas superficiales;2015;2.489.328
España;Aragón;Aguas superficiales;2014;2.715.353
España;Aragón;Aguas superficiales;2013;2.631.720
España;Aragón;Aguas superficiales;2012;3.013.058
España;Aragón;Aguas superficiales;2011;2.816.759
España;Aragón;Aguas superficiales;2010;2.450.626
España;Aragón;Aguas superficiales;2009;2.297.445
España;Aragón;Aguas superficiales;2008;2.264.225
España;Aragón;Aguas superficiales;2007;2.342.416
España;Aragón;Aguas superficiales;2006;2.306.367
España;Aragón;Aguas superficiales;2005;2.335.365
España;Aragón;Aguas superficiales;2004;2.653.324
España;Aragón;Aguas superficiales;2003;2.811.313
España;Aragón;Aguas superficiales;2002;2.874.896
España;Aragón;Aguas superficiales;2001;2.869.507
España;Aragón;Aguas superficiales;2000;2.711.886
España;Aragón;Aguas subterráneas;2018;70.930
España;Aragón;Aguas subterráneas;2016;66.843
España;Aragón;Aguas subterráneas;2015;58.820
España;Aragón;Aguas subterráneas;2014;101.721
España;Aragón;Aguas subterráneas;2013;92.610
España;Aragón;Aguas subterráneas;2012;139.298
España;Aragón;Aguas subterráneas;2011;131.632
España;Aragón;Aguas subterráneas;2010;58.490
España;Aragón;Aguas subterráneas;2009;68.108
España;Aragón;Aguas subterráneas;2008;91.885
España;Aragón;Aguas subterráneas;2007;66.014
España;Aragón;Aguas subterráneas;2006;40.863
España;Aragón;Aguas subterráneas;2005;71.697
España;Aragón;Aguas subterráneas;2004;78.386
España;Aragón;Aguas subterráneas;2003;3.534
España;Aragón;Aguas subterráneas;2002;5.023
España;Aragón;Aguas subterráneas;2001;15.143
España;Aragón;Aguas subterráneas;2000;5.618
España;Aragón;Otros recursos hídricos;2018;2.149
España;Aragón;Otros recursos hídricos;2016;2.571
España;Aragón;Otros recursos hídricos;2015;4.320
España;Aragón;Otros recursos hídricos;2014;8.476
España;Aragón;Otros recursos hídricos;2013;6.254
España;Aragón;Otros recursos hídricos;2012;5.226
España;Aragón;Otros recursos hídricos;2011;4.721
España;Aragón;Otros recursos hídricos;2010;5.302
España;Aragón;Otros recursos hídricos;2009;10.740
España;Aragón;Otros recursos hídricos;2008;1.235
España;Aragón;Otros recursos hídricos;2007;135
España;Aragón;Otros recursos hídricos;2006;183
España;Aragón;Otros recursos hídricos;2005;4.661
España;Aragón;Otros recursos hídricos;2004;0
España;Aragón;Otros recursos hídricos;2003;82.923
España;Aragón;Otros recursos hídricos;2002;30.000
España;Aragón;Otros recursos hídricos;2001;113.609
España;Aragón;Otros recursos hídricos;2000;98.711
España;Castilla y León;Total;2018;2.290.137
España;Castilla y León;Total;2016;2.356.419
España;Castilla y León;Total;2015;2.825.417
España;Castilla y León;Total;2014;2.950.354
España;Castilla y León;Total;2013;2.615.842
España;Castilla y León;Total;2012;2.986.245
España;Castilla y León;Total;2011;2.710.520
España;Castilla y León;Total;2010;2.273.467
España;Castilla y León;Total;2009;2.381.958
España;Castilla y León;Total;2008;2.428.032
España;Castilla y León;Total;2007;2.497.042
España;Castilla y León;Total;2006;2.403.904
España;Castilla y León;Total;2005;2.550.739
España;Castilla y León;Total;2004;2.626.393
España;Castilla y León;Total;2003;2.696.426
España;Castilla y León;Total;2002;2.749.852
España;Castilla y León;Total;2001;2.921.383
España;Castilla y León;Total;2000;2.937.955
España;Castilla y León;Aguas superficiales;2018;1.829.819
España;Castilla y León;Aguas superficiales;2016;1.936.976
España;Castilla y León;Aguas superficiales;2015;2.330.757
España;Castilla y León;Aguas superficiales;2014;2.404.538
España;Castilla y León;Aguas superficiales;2013;2.120.699
España;Castilla y León;Aguas superficiales;2012;2.448.258
España;Castilla y León;Aguas superficiales;2011;2.280.685
España;Castilla y León;Aguas superficiales;2010;2.222.613
España;Castilla y León;Aguas superficiales;2009;2.301.729
España;Castilla y León;Aguas superficiales;2008;2.326.195
España;Castilla y León;Aguas superficiales;2007;2.365.015
España;Castilla y León;Aguas superficiales;2006;2.347.346
España;Castilla y León;Aguas superficiales;2005;2.389.628
España;Castilla y León;Aguas superficiales;2004;2.620.280
España;Castilla y León;Aguas superficiales;2003;2.616.731
España;Castilla y León;Aguas superficiales;2002;2.744.335
España;Castilla y León;Aguas superficiales;2001;2.783.723
España;Castilla y León;Aguas superficiales;2000;2.815.295
España;Castilla y León;Aguas subterráneas;2018;458.027
España;Castilla y León;Aguas subterráneas;2016;414.730
España;Castilla y León;Aguas subterráneas;2015;490.410
España;Castilla y León;Aguas subterráneas;2014;539.865
España;Castilla y León;Aguas subterráneas;2013;486.718
España;Castilla y León;Aguas subterráneas;2012;527.254
España;Castilla y León;Aguas subterráneas;2011;421.712
España;Castilla y León;Aguas subterráneas;2010;42.107
España;Castilla y León;Aguas subterráneas;2009;80.229
España;Castilla y León;Aguas subterráneas;2008;101.837
España;Castilla y León;Aguas subterráneas;2007;132.027
España;Castilla y León;Aguas subterráneas;2006;56.558
España;Castilla y León;Aguas subterráneas;2005;161.111
España;Castilla y León;Aguas subterráneas;2004;6.113
España;Castilla y León;Aguas subterráneas;2003;3.726
España;Castilla y León;Aguas subterráneas;2002;5.517
España;Castilla y León;Aguas subterráneas;2001;61.816
España;Castilla y León;Aguas subterráneas;2000;59.330
España;Castilla y León;Otros recursos hídricos;2018;2.290
España;Castilla y León;Otros recursos hídricos;2016;4.713
España;Castilla y León;Otros recursos hídricos;2015;4.250
España;Castilla y León;Otros recursos hídricos;2014;5.951
España;Castilla y León;Otros recursos hídricos;2013;8.425
España;Castilla y León;Otros recursos hídricos;2012;10.733
España;Castilla y León;Otros recursos hídricos;2011;8.123
España;Castilla y León;Otros recursos hídricos;2010;8.747
España;Castilla y León;Otros recursos hídricos;2009;0
España;Castilla y León;Otros recursos hídricos;2008;0
España;Castilla y León;Otros recursos hídricos;2007;0
España;Castilla y León;Otros recursos hídricos;2006;0
España;Castilla y León;Otros recursos hídricos;2005;0
España;Castilla y León;Otros recursos hídricos;2004;0
España;Castilla y León;Otros recursos hídricos;2003;75.969
España;Castilla y León;Otros recursos hídricos;2002;0
España;Castilla y León;Otros recursos hídricos;2001;75.844
España;Castilla y León;Otros recursos hídricos;2000;63.330
España;Castilla-La Mancha;Total;2018;1.805.352
España;Castilla-La Mancha;Total;2016;2.012.910
España;Castilla-La Mancha;Total;2015;1.757.820
España;Castilla-La Mancha;Total;2014;1.680.154
España;Castilla-La Mancha;Total;2013;1.826.521
España;Castilla-La Mancha;Total;2012;1.890.021
España;Castilla-La Mancha;Total;2011;1.639.997
España;Castilla-La Mancha;Total;2010;1.691.623
España;Castilla-La Mancha;Total;2009;2.014.129
España;Castilla-La Mancha;Total;2008;1.732.614
España;Castilla-La Mancha;Total;2007;1.931.566
España;Castilla-La Mancha;Total;2006;1.800.495
España;Castilla-La Mancha;Total;2005;1.902.349
España;Castilla-La Mancha;Total;2004;2.425.585
España;Castilla-La Mancha;Total;2003;2.195.445
España;Castilla-La Mancha;Total;2002;2.067.876
España;Castilla-La Mancha;Total;2001;1.910.508
España;Castilla-La Mancha;Total;2000;1.831.856
España;Castilla-La Mancha;Aguas superficiales;2018;926.146
España;Castilla-La Mancha;Aguas superficiales;2016;950.094
España;Castilla-La Mancha;Aguas superficiales;2015;866.605
España;Castilla-La Mancha;Aguas superficiales;2014;851.174
España;Castilla-La Mancha;Aguas superficiales;2013;828.686
España;Castilla-La Mancha;Aguas superficiales;2012;835.124
España;Castilla-La Mancha;Aguas superficiales;2011;635.622
España;Castilla-La Mancha;Aguas superficiales;2010;359.804
España;Castilla-La Mancha;Aguas superficiales;2009;363.171
España;Castilla-La Mancha;Aguas superficiales;2008;417.960
España;Castilla-La Mancha;Aguas superficiales;2007;535.119
España;Castilla-La Mancha;Aguas superficiales;2006;349.685
España;Castilla-La Mancha;Aguas superficiales;2005;530.462
España;Castilla-La Mancha;Aguas superficiales;2004;1.887.100
España;Castilla-La Mancha;Aguas superficiales;2003;1.907.471
