fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
1986-6,0076,1.8(05),1,72,0,1,9.4,1020.7(08),,1015.5,1014.9,15.0,30.0(28),19.0,1,0,9,,0,20,62,,2,11.5(06),,179,0,0,,3.2,4,0,14,0,19.4,0,19.6,24.1,0,1001.3(05),2,
1986-7,0076,14.6(12),2,72,0,0,9.2,1021.0(04),,1016.8,1016.2,18.1,30.0(04),23.4,2,0,9,,1,20,62,,4,14.5(19),145,214,0,0,909,23.4,6,3,13,0,24.4,0,22.8,27.4,0,1008.7(23),3,
1986-8,0076,26.1(27),2,74,0,0,9.0,1023.1(30),1,1014.9,1014.3,19.4,33.5(18),22.2,3,0,5,24/16.1(18),2,24,65,0,6,15.0(29),155,230,0,0,855,62.5,9,3,14,0,21.0,0,23.6,27.8,0,1005.2(18),5,
1986-9,0076,51.3(30),2,77,0,0,7.4,1026.8(20),,1017.7,1017.1,17.5,29.5(17),19.5,0,0,0,,3,28,59,,6,13.5(29),,208,1,0,688,108.3,12,4,13,0,23.6,0,21.9,26.3,0,1009.4(16),5,
1987-10,0076,175.1(03),8,76,0,0,4.0,1021.9(25),,1013.6,1013.1,13.8,27.0(08),17.8,0,0,2,,7,21,36,,11,9.2(18),,158,3,0,649,411.3,12,8,14,0,18.5,0,18.1,22.3,0,992.9(10),10,
1987-11,0076,32.7(08),5,74,0,0,5.1,1032.1(19),0,1015.9,1015.3,7.7,21.5(01),14.0,0,0,8,23/11.9(03),2,17,52,0,4,1.6(30),252,108,1,0,553,54.1,6,0,10,0,10.4,0,12.4,17.1,0,987.0(24),3,
1987-12,0076,25.5(13),7,79,0,0,3.9,1035.8(27),,1018.2,1017.6,7.0,20.6(18),13.0,0,0,4,,3,20,42,,10,1.2(01),,105,0,0,385,79.4,12,0,10,0,11.5,0,11.3,15.6,0,998.9(14),9,
1987-13,0076,175.1(03/oct),61,74,0,3,6.7,1035.8(27/dic),,1015.7,1015.2,11.1,32.5(15/ago),22.5,12,0,70,,27,232,54,,81,-3.5(20/feb),,144,5,1,,984.8,100,19,12,9,5.4,2,15.6,20.1,0,986.3(14/ene),62,
1987-1,0076,25.7(10),6,72,0,0,4.7,1030.3(25),,1014.8,1014.2,3.1,19.0(27),8.2,0,0,8,,3,17,49,,6,-1.0(12),,77,0,0,540,66.1,8,1,13,6,5.4,2,7.9,12.8,0,986.3(14),6,
1987-2,0076,22.8(11),7,77,0,0,5.5,1027.7(08),0,1013.6,1013.0,4.8,21.0(28),10.4,0,0,3,28/13.9(19),3,18,51,0,10,-3.5(20),251,91,0,0,362,94.1,11,1,9,3,6.6,0,9.1,13.4,0,989.1(12),10,
1987-3,0076,22.5(20),7,76,0,1,5.0,1024.2(01),,1016.7,1016.1,6.8,25.5(02),10.5,0,0,2,,1,20,42,,11,2.4(16),248,102,0,0,534,37.6,13,1,13,0,9.4,0,11.0,15.1,0,1005.8(19),5,
1987-4,0076,3.3(03),6,76,0,0,7.4,1026.8(15),0,1016.9,1016.3,8.8,22.5(27),12.8,0,0,4,27/13.1(04),0,20,55,0,3,5.0(04),,123,0,0,621,5.6,5,0,15,0,14.5,0,13.4,18.0,0,990.0(03),2,
1987-5,0076,22.2(16),4,72,0,0,8.7,1021.0(30),0,1015.3,1014.7,10.5,24.0(29),15.0,0,0,7,24/15.0(30),3,20,60,0,7,6.6(04),,132,0,1,755,52.0,9,0,14,0,14.4,0,15.1,19.6,0,1007.9(15),5,
1987-6,0076,28.4(08),1,72,0,0,10.4,1024.0(16),1,1016.9,1016.3,14.4,27.4(30),18.0,0,0,7,25/18.1(15),1,22,68,0,6,8.0(16),225,175,0,0,,33.7,6,1,12,0,20.5,0,19.0,23.7,0,1006.3(14),4,
1987-7,0076,29.0(20),5,71,0,1,9.0,1021.0(27),0,1015.1,1014.5,18.5,31.0(17),22.4,3,0,7,08/13.1(17),2,19,61,0,7,14.2(01),,212,0,0,886,49.7,8,2,11,0,21.5,0,23.0,27.4,0,1003.0(17),4,
1987-8,0076,2.6(23),4,72,0,1,8.9,1019.7(28),1,1014.8,1014.2,18.9,32.5(15),22.5,6,0,10,08/15.3(27),0,17,65,0,3,15.6(25),238,221,0,0,889,3.6,6,1,12,0,23.5,0,23.6,28.3,0,1002.7(24),1,
1987-9,0076,69.4(30),1,75,0,0,8.2,1023.4(18),,1017.1,1016.5,18.5,30.5(19),20.6,3,0,8,,2,21,65,,3,16.2(30),,220,1,0,,97.6,4,4,12,0,21.8,0,23.3,28.0,0,1002.6(26),3,
1988-10,0076,12.2(11),7,80,0,2,4.9,1022.6(20),3,1015.7,1015.1,14.0,26.8(07),20.6,0,0,3,06/23.1(15),1,21,44,0,8,8.5(20),276,170,0,1,621,33.3,13,3,13,0,19.2,0,18.5,23.0,0,1006.2(19),7,
1988-11,0076,45.6(12),6,75,0,1,4.1,1026.2(28),3,1019.1,1018.5,8.2,20.6(02),16.0,0,0,5,34/18.1(12),5,19,42,0,9,-1.2(24),289,116,1,0,460,120.7,11,2,12,5,11.0,0,12.7,17.2,0,1001.9(30),8,
1988-12,0076,0.1(01),0,65,0,0,6.2,1036.0(30),1,1023.7,1023.1,3.3,17.2(06),7.0,0,0,14,36/22.8(20),0,17,67,0,1,0.4(19),327,75,0,0,665,0.1,1,0,12,0,10.6,0,8.9,14.5,0,994.0(01),0,
1988-13,0076,45.6(12/nov),50,73,1,10,6.9,1036.0(30/dic),,1016.2,1015.6,10.7,32.4(03/ago),23.4,14,0,92,,13,224,57,,67,-1.5(27/feb),,144,3,3,8555,426.0,88,22,13,10,9.0,0,15.7,20.7,0,994.0(01/dic),48,
1988-1,0076,3.6(06),4,76,0,0,4.9,1029.0(09),0,1015.6,1014.9,3.6,16.0(15),6.4,0,0,13,34/13.3(23),0,14,51,0,2,0.8(01),312,87,0,0,479,4.7,3,0,12,0,9.0,0,8.8,13.9,0,995.5(29),2,
1988-2,0076,0.3(29),0,64,0,1,7.3,1027.5(21),,1017.3,1016.7,3.8,21.6(05),8.5,0,0,8,,0,21,69,,1,-1.5(27),,79,0,0,838,0.3,1,0,14,3,11.0,0,9.5,15.1,0,1002.6(06),0,
1988-3,0076,2.8(29),3,67,0,3,7.4,1028.3(11),3,1016.4,1015.8,5.6,24.5(17),11.2,0,0,2,31/18.6(30),0,26,62,0,5,-1.4(01),297,95,0,1,890,5.4,6,0,16,2,11.5,0,11.4,17.2,0,1001.5(30),3,
1988-4,0076,13.5(26),10,79,0,1,5.6,1019.1(13),2,1012.9,1012.3,9.1,21.6(23),12.0,0,0,1,05/22.2(03),2,19,42,0,13,4.0(02),251,127,0,0,570,68.6,15,4,13,0,13.5,0,13.6,18.2,0,1002.8(03),11,
1988-5,0076,9.7(10),9,79,0,2,6.1,1021.4(20),1,1012.3,1011.7,12.6,24.8(29),14.6,0,0,1,08/16.9(06),0,21,42,0,7,8.8(02),227,161,0,1,578,33.0,12,3,12,0,18.5,0,16.9,21.2,0,1002.4(12),6,
